observation_date,IRSTCI01DEM156N
1990-01-01,7.5800000000
1990-02-01,7.7700000000
1990-03-01,7.7200000000
1990-04-01,7.7900000000
1990-05-01,7.7200000000
1990-06-01,7.8300000000
1990-07-01,8.0200000000
1990-08-01,8.0300000000
1990-09-01,8.0300000000
1990-10-01,8.0400000000
1990-11-01,8.1200000000
1990-12-01,8.4300000000
1991-01-01,8.5300000000
1991-02-01,8.6900000000
1991-03-01,8.7600000000
1991-04-01,8.8500000000
1991-05-01,8.5800000000
1991-06-01,8.7900000000
1991-07-01,8.8300000000
1991-08-01,8.9300000000
1991-09-01,9.0700000000
1991-10-01,8.7800000000
1991-11-01,9.0400000000
1991-12-01,9.2300000000
1992-01-01,9.5200000000
1992-02-01,9.5800000000
1992-03-01,9.6200000000
1992-04-01,9.6000000000
1992-05-01,9.6100000000
1992-06-01,9.6500000000
1992-07-01,9.6900000000
1992-08-01,9.7200000000
1992-09-01,9.3200000000
1992-10-01,8.9100000000
1992-11-01,8.8600000000
1992-12-01,8.9100000000
1993-01-01,8.6900000000
1993-02-01,8.6500000000
1993-03-01,8.3400000000
1993-04-01,8.0500000000
1993-05-01,7.8500000000
1993-06-01,7.8200000000
1993-07-01,7.2800000000
1993-08-01,6.8400000000
1993-09-01,6.9900000000
1993-10-01,6.7400000000
1993-11-01,6.4300000000
1993-12-01,6.1900000000
1994-01-01,6.1500000000
1994-02-01,6.2200000000
1994-03-01,5.9900000000
1994-04-01,5.6600000000
1994-05-01,5.3600000000
1994-06-01,5.1400000000
1994-07-01,5.0400000000
1994-08-01,4.9300000000
1994-09-01,4.8100000000
1994-10-01,4.9300000000
1994-11-01,5.0300000000
1994-12-01,4.9000000000
1995-01-01,4.9800000000
1995-02-01,4.9900000000
1995-03-01,4.7900000000
1995-04-01,4.6600000000
1995-05-01,4.6600000000
1995-06-01,4.5500000000
1995-07-01,4.5700000000
1995-08-01,4.4000000000
1995-09-01,4.2000000000
1995-10-01,4.1000000000
1995-11-01,4.0600000000
1995-12-01,4.0800000000
1996-01-01,3.6100000000
1996-02-01,3.3400000000
1996-03-01,3.3800000000
1996-04-01,3.3700000000
1996-05-01,3.3300000000
1996-06-01,3.3400000000
1996-07-01,3.2900000000
1996-08-01,3.2500000000
1996-09-01,3.0900000000
1996-10-01,3.0800000000
1996-11-01,3.0900000000
1996-12-01,3.1100000000
1997-01-01,3.1200000000
1997-02-01,3.1300000000
1997-03-01,3.1500000000
1997-04-01,3.0800000000
1997-05-01,3.0100000000
1997-06-01,3.0700000000
1997-07-01,3.0900000000
1997-08-01,3.1600000000
1997-09-01,3.1000000000
1997-10-01,3.4000000000
1997-11-01,3.4600000000
1997-12-01,3.4400000000
1998-01-01,3.4200000000
1998-02-01,3.4900000000
1998-03-01,3.4500000000
1998-04-01,3.4100000000
1998-05-01,3.4100000000
1998-06-01,3.4700000000
1998-07-01,3.3900000000
1998-08-01,3.4800000000
1998-09-01,3.4800000000
1998-10-01,3.4100000000
1998-11-01,3.4200000000
1998-12-01,3.1400000000
1999-01-01,3.1370000000
1999-02-01,3.1180000000
1999-03-01,2.9252000000
1999-04-01,2.7091000000
1999-05-01,2.5510000000
1999-06-01,2.5632000000
1999-07-01,2.5209000000
1999-08-01,2.4427000000
1999-09-01,2.4336000000
1999-10-01,2.5019000000
1999-11-01,2.9355000000
1999-12-01,3.0418000000
2000-01-01,3.0429000000
2000-02-01,3.2757000000
2000-03-01,3.5104000000
2000-04-01,3.6850000000
2000-05-01,3.9200000000
2000-06-01,4.2945000000
2000-07-01,4.3086000000
2000-08-01,4.4191000000
2000-09-01,4.5905000000
2000-10-01,4.7627000000
2000-11-01,4.8291000000
2000-12-01,4.8268000000
2001-01-01,4.7559000000
2001-02-01,4.9925000000
2001-03-01,4.7814000000
2001-04-01,5.0642000000
2001-05-01,4.6536000000
2001-06-01,4.5395000000
2001-07-01,4.5055000000
2001-08-01,4.4913000000
2001-09-01,3.9865000000
2001-10-01,3.9713000000
2001-11-01,3.5073000000
2001-12-01,3.3389000000
2002-01-01,3.2936000000
2002-02-01,3.2830000000
2002-03-01,3.2640000000
2002-04-01,3.3162000000
2002-05-01,3.3100000000
2002-06-01,3.3485000000
2002-07-01,3.3017000000
2002-08-01,3.2927000000
2002-09-01,3.3186000000
2002-10-01,3.3004000000
2002-11-01,3.3043000000
2002-12-01,3.0945000000
2003-01-01,2.7868000000
2003-02-01,2.7635000000
2003-03-01,2.7490000000
2003-04-01,2.5605000000
2003-05-01,2.5571000000
2003-06-01,2.2133000000
2003-07-01,2.0783000000
2003-08-01,2.0981000000
2003-09-01,2.0209000000
2003-10-01,2.0148000000
2003-11-01,1.9730000000
2003-12-01,2.0567000000
2004-01-01,2.0214000000
2004-02-01,2.0315000000
2004-03-01,2.0057000000
2004-04-01,2.0780000000
2004-05-01,2.0152000000
2004-06-01,2.0277000000
2004-07-01,2.0677000000
2004-08-01,2.0405000000
2004-09-01,2.0518000000
2004-10-01,2.1114000000
2004-11-01,2.0850000000
2004-12-01,2.0535000000
2005-01-01,2.0771000000
2005-02-01,2.0585000000
2005-03-01,2.0567000000
2005-04-01,2.0757000000
2005-05-01,2.0700000000
2005-06-01,2.0623000000
2005-07-01,2.0729000000
2005-08-01,2.0609000000
2005-09-01,2.0941000000
2005-10-01,2.0671000000
2005-11-01,2.0859000000
2005-12-01,2.2757000000
2006-01-01,2.3264000000
2006-02-01,2.3495000000
2006-03-01,2.5200000000
2006-04-01,2.6283000000
2006-05-01,2.5768000000
2006-06-01,2.6977000000
2006-07-01,2.8138000000
2006-08-01,2.9683000000
2006-09-01,3.0410000000
2006-10-01,3.2782000000
2006-11-01,3.3277000000
2006-12-01,3.5011000000
2007-01-01,3.5632000000
2007-02-01,3.5695000000
2007-03-01,3.6909000000
2007-04-01,3.8195000000
2007-05-01,3.7905000000
2007-06-01,3.9557000000
2007-07-01,4.0632000000
2007-08-01,4.0474000000
2007-09-01,4.0286000000
2007-10-01,3.9414000000
2007-11-01,4.0221000000
2007-12-01,3.8791000000
2008-01-01,4.0218000000
2008-02-01,4.0279000000
2008-03-01,4.0910000000
2008-04-01,3.9868000000
2008-05-01,4.0097000000
2008-06-01,4.0067000000
2008-07-01,4.1908000000
2008-08-01,4.2989000000
2008-09-01,4.2733000000
2008-10-01,3.8198000000
2008-11-01,3.1502000000
2008-12-01,2.4864000000
2009-01-01,1.8122000000
2009-02-01,1.2571000000
2009-03-01,1.0620000000
2009-04-01,0.8419000000
2009-05-01,0.7821000000
2009-06-01,0.6980000000
2009-07-01,0.3576000000
2009-08-01,0.3475000000
2009-09-01,0.3632000000
2009-10-01,0.3587000000
2009-11-01,0.3624000000
2009-12-01,0.3546000000
2010-01-01,0.3440000000
2010-02-01,0.3406000000
2010-03-01,0.3477000000
2010-04-01,0.3533000000
2010-05-01,0.3439000000
2010-06-01,0.3543000000
2010-07-01,0.4811000000
2010-08-01,0.4256000000
2010-09-01,0.4536000000
2010-10-01,0.7013000000
2010-11-01,0.5926000000
2010-12-01,0.4981000000
2011-01-01,0.6590000000
2011-02-01,0.7071000000
2011-03-01,0.6587000000
2011-04-01,0.9661000000
2011-05-01,1.0334000000
2011-06-01,1.1240000000
2011-07-01,1.0118000000
2011-08-01,0.9058000000
2011-09-01,1.0055000000
2011-10-01,0.9596000000
2011-11-01,0.7900000000
2011-12-01,0.6270000000
