Tabelle: 61411-0002
Index of import prices: Germany, months;;;;
Index of import prices;;;;;;;
Germany;;;;;;;
;;Index of import prices;Index of import prices;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
1962;January;38.0;e;.;;.;
1962;February;38.2;e;0.5;e;.;
1962;March;38.5;e;0.8;e;.;
1962;April;38.7;e;0.5;e;.;
1962;May;38.3;e;-1.0;e;.;
1962;June;37.9;e;-1.0;e;.;
1962;July;37.8;e;-0.3;e;.;
1962;August;37.6;e;-0.5;e;.;
1962;September;37.6;e;-;;.;
1962;October;37.8;e;0.5;e;.;
1962;November;37.9;e;0.3;e;.;
1962;December;38.3;e;1.1;e;.;
1963;January;38.7;e;1.0;e;1.8;e
1963;February;39.3;e;1.6;e;2.9;e
1963;March;39.3;e;-;;2.1;e
1963;April;39.0;e;-0.8;e;0.8;e
1963;May;38.7;e;-0.8;e;1.0;e
1963;June;38.5;e;-0.5;e;1.6;e
1963;July;38.2;e;-0.8;e;1.1;e
1963;August;38.3;e;0.3;e;1.9;e
1963;September;38.5;e;0.5;e;2.4;e
1963;October;38.8;e;0.8;e;2.6;e
1963;November;39.2;e;1.0;e;3.4;e
1963;December;39.4;e;0.5;e;2.9;e
1964;January;39.6;e;0.5;e;2.3;e
1964;February;39.6;e;-;;0.8;e
1964;March;39.8;e;0.5;e;1.3;e
1964;April;39.7;e;-0.3;e;1.8;e
1964;May;39.4;e;-0.8;e;1.8;e
1964;June;39.0;e;-1.0;e;1.3;e
1964;July;39.2;e;0.5;e;2.6;e
1964;August;39.2;e;-;;2.3;e
1964;September;39.3;e;0.3;e;2.1;e
1964;October;39.6;e;0.8;e;2.1;e
1964;November;39.8;e;0.5;e;1.5;e
1964;December;39.9;e;0.3;e;1.3;e
1965;January;40.1;e;0.5;e;1.3;e
1965;February;40.3;e;0.5;e;1.8;e
1965;March;40.3;e;-;;1.3;e
1965;April;40.6;e;0.7;e;2.3;e
1965;May;40.5;e;-0.2;e;2.8;e
1965;June;40.7;e;0.5;e;4.4;e
1965;July;40.5;e;-0.5;e;3.3;e
1965;August;40.2;e;-0.7;e;2.6;e
1965;September;40.2;e;-;;2.3;e
1965;October;40.3;e;0.2;e;1.8;e
1965;November;40.8;e;1.2;e;2.5;e
1965;December;41.1;e;0.7;e;3.0;e
1966;January;41.5;e;1.0;e;3.5;e
1966;February;41.8;e;0.7;e;3.7;e
1966;March;41.8;e;-;;3.7;e
1966;April;42.0;e;0.5;e;3.4;e
1966;May;41.8;e;-0.5;e;3.2;e
1966;June;41.2;e;-1.4;e;1.2;e
1966;July;41.1;e;-0.2;e;1.5;e
1966;August;40.8;e;-0.7;e;1.5;e
1966;September;40.5;e;-0.7;e;0.7;e
1966;October;40.3;e;-0.5;e;-;
1966;November;40.7;e;1.0;e;-0.2;e
1966;December;40.7;e;-;;-1.0;e
1967;January;40.6;e;-0.2;e;-2.2;e
1967;February;40.3;e;-0.7;e;-3.6;e
1967;March;40.3;e;-;;-3.6;e
1967;April;40.2;e;-0.2;e;-4.3;e
1967;May;39.9;e;-0.7;e;-4.5;e
1967;June;40.2;e;0.8;e;-2.4;e
1967;July;40.2;e;-;;-2.2;e
1967;August;40.2;e;-;;-1.5;e
1967;September;40.2;e;-;;-0.7;e
1967;October;40.2;e;-;;-0.2;e
1967;November;40.8;e;1.5;e;0.2;e
1967;December;40.7;e;-0.2;e;-;
1968;January;40.5;e;-0.5;e;-0.2;e
1968;February;40.7;e;0.5;e;1.0;e
1968;March;40.8;e;0.2;e;1.2;e
1968;April;40.2;e;-1.5;e;-;
1968;May;39.8;e;-1.0;e;-0.3;e
1968;June;39.7;e;-0.3;e;-1.2;e
1968;July;39.5;e;-0.5;e;-1.7;e
1968;August;39.4;e;-0.3;e;-2.0;e
1968;September;39.6;e;0.5;e;-1.5;e
1968;October;39.7;e;0.3;e;-1.2;e
1968;November;40.2;e;1.3;e;-1.5;e
1968;December;40.2;e;-;;-1.2;e
1969;January;40.5;e;0.7;e;-;
1969;February;40.7;e;0.5;e;-;
1969;March;40.8;e;0.2;e;-;
1969;April;41.1;e;0.7;e;2.2;e
1969;May;41.1;e;-;;3.3;e
1969;June;41.1;e;-;;3.5;e
1969;July;41.1;e;-;;4.1;e
1969;August;41.1;e;-;;4.3;e
1969;September;41.1;e;-;;3.8;e
1969;October;39.9;e;-2.9;e;0.5;e
1969;November;39.7;e;-0.5;e;-1.2;e
1969;December;40.2;e;1.3;e;-;
1970;January;40.3;e;0.2;e;-0.5;e
1970;February;40.5;e;0.5;e;-0.5;e
1970;March;40.7;e;0.5;e;-0.2;e
1970;April;40.7;e;-;;-1.0;e
1970;May;40.5;e;-0.5;e;-1.5;e
1970;June;40.1;e;-1.0;e;-2.4;e
1970;July;40.1;e;-;;-2.4;e
1970;August;39.9;e;-0.5;e;-2.9;e
1970;September;40.1;e;0.5;e;-2.4;e
1970;October;40.2;e;0.2;e;0.8;e
1970;November;40.2;e;-;;1.3;e
1970;December;40.2;e;-;;-;
1971;January;40.8;e;1.5;e;1.2;e
1971;February;41.0;e;0.5;e;1.2;e
1971;March;41.3;e;0.7;e;1.5;e
1971;April;41.5;e;0.5;e;2.0;e
1971;May;41.1;e;-1.0;e;1.5;e
1971;June;40.8;e;-0.7;e;1.7;e
1971;July;40.5;e;-0.7;e;1.0;e
1971;August;40.1;e;-1.0;e;0.5;e
1971;September;39.7;e;-1.0;e;-1.0;e
1971;October;39.5;e;-0.5;e;-1.7;e
1971;November;39.5;e;-;;-1.7;e
1971;December;39.6;e;0.3;e;-1.5;e
1972;January;39.6;e;-;;-2.9;e
1972;February;39.6;e;-;;-3.4;e
1972;March;39.8;e;0.5;e;-3.6;e
1972;April;39.9;e;0.3;e;-3.9;e
1972;May;39.8;e;-0.3;e;-3.2;e
1972;June;39.6;e;-0.5;e;-2.9;e
1972;July;39.6;e;-;;-2.2;e
1972;August;40.1;e;1.3;e;-;
1972;September;40.2;e;0.2;e;1.3;e
1972;October;41.0;e;2.0;e;3.8;e
1972;November;41.1;e;0.2;e;4.1;e
1972;December;41.9;e;1.9;e;5.8;e
1973;January;43.4;e;3.6;e;9.6;e
1973;February;43.6;e;0.5;e;10.1;e
1973;March;43.5;e;-0.2;e;9.3;e
1973;April;44.1;e;1.4;e;10.5;e
1973;May;45.0;e;2.0;e;13.1;e
1973;June;45.0;e;-;;13.6;e
1973;July;44.4;e;-1.3;e;12.1;e
1973;August;44.5;e;0.2;e;11.0;e
1973;September;44.4;e;-0.2;e;10.4;e
1973;October;45.7;e;2.9;e;11.5;e
1973;November;49.0;e;7.2;e;19.2;e
1973;December;51.0;e;4.1;e;21.7;e
1974;January;57.0;e;11.8;e;31.3;e
1974;February;58.3;e;2.3;e;33.7;e
1974;March;58.7;e;0.7;e;34.9;e
1974;April;58.4;e;-0.5;e;32.4;e
1974;May;58.1;e;-0.5;e;29.1;e
