Tabelle: 61111-0002
Consumer price index: Germany, months;;;;
Consumer price index for Germany;;;;;;;
Germany;;;;;;;
;;Consumer price index;Consumer price index;Change on previous year's month;Change on previous year's month;Change on previous month;Change on previous month
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
1991;January;60.5;e;.;;.;
1991;February;60.8;e;.;;0.5;e
1991;March;60.8;e;.;;-;
1991;April;61.0;e;.;;0.3;e
1991;May;61.1;e;.;;0.2;e
1991;June;61.5;e;.;;0.7;e
1991;July;62.2;e;.;;1.1;e
1991;August;62.2;e;.;;-;
1991;September;62.2;e;.;;-;
1991;October;63.2;e;.;;1.6;e
1991;November;63.4;e;.;;0.3;e
1991;December;63.5;e;.;;0.2;e
1992;January;63.9;e;5.6;e;0.6;e
1992;February;64.3;e;5.8;e;0.6;e
1992;March;64.5;e;6.1;e;0.3;e
1992;April;64.7;e;6.1;e;0.3;e
1992;May;64.9;e;6.2;e;0.3;e
1992;June;65.1;e;5.9;e;0.3;e
1992;July;65.3;e;5.0;e;0.3;e
1992;August;65.3;e;5.0;e;-;
1992;September;65.3;e;5.0;e;-;
1992;October;65.3;e;3.3;e;-;
1992;November;65.6;e;3.5;e;0.5;e
1992;December;65.7;e;3.5;e;0.2;e
1993;January;66.8;e;4.5;e;1.7;e
1993;February;67.3;e;4.7;e;0.7;e
1993;March;67.5;e;4.7;e;0.3;e
1993;April;67.7;e;4.6;e;0.3;e
1993;May;67.8;e;4.5;e;0.1;e
1993;June;68.0;e;4.5;e;0.3;e
1993;July;68.3;e;4.6;e;0.4;e
1993;August;68.3;e;4.6;e;-;
1993;September;68.2;e;4.4;e;-0.1;e
1993;October;68.2;e;4.4;e;-;
1993;November;68.3;e;4.1;e;0.1;e
1993;December;68.5;e;4.3;e;0.3;e
1994;January;68.8;e;3.0;e;0.4;e
1994;February;69.4;e;3.1;e;0.9;e
1994;March;69.5;e;3.0;e;0.1;e
1994;April;69.6;e;2.8;e;0.1;e
1994;May;69.7;e;2.8;e;0.1;e
1994;June;69.8;e;2.6;e;0.1;e
1994;July;69.9;e;2.3;e;0.1;e
1994;August;70.1;e;2.6;e;0.3;e
1994;September;69.9;e;2.5;e;-0.3;e
1994;October;69.8;e;2.3;e;-0.1;e
1994;November;69.9;e;2.3;e;0.1;e
1994;December;70.1;e;2.3;e;0.3;e
1995;January;70.4;e;2.3;e;0.4;e
1995;February;70.8;e;2.0;e;0.6;e
1995;March;70.8;e;1.9;e;-;
1995;April;70.9;e;1.9;e;0.1;e
1995;May;70.9;e;1.7;e;-;
1995;June;71.0;e;1.7;e;0.1;e
1995;July;71.2;e;1.9;e;0.3;e
1995;August;71.2;e;1.6;e;-;
1995;September;71.2;e;1.9;e;-;
1995;October;71.0;e;1.7;e;-0.3;e
1995;November;71.0;e;1.6;e;-;
1995;December;71.2;e;1.6;e;0.3;e
1996;January;71.4;e;1.4;e;0.3;e
1996;February;71.8;e;1.4;e;0.6;e
1996;March;71.8;e;1.4;e;-;
1996;April;71.8;e;1.3;e;-;
1996;May;71.9;e;1.4;e;0.1;e
1996;June;72.0;e;1.4;e;0.1;e
1996;July;72.1;e;1.3;e;0.1;e
1996;August;72.1;e;1.3;e;-;
1996;September;72.1;e;1.3;e;-;
1996;October;72.1;e;1.5;e;-;
1996;November;72.0;e;1.4;e;-0.1;e
1996;December;72.3;e;1.5;e;0.4;e
1997;January;72.9;e;2.1;e;0.8;e
1997;February;73.0;e;1.7;e;0.1;e
1997;March;73.0;e;1.7;e;-;
1997;April;72.9;e;1.5;e;-0.1;e
1997;May;73.1;e;1.7;e;0.3;e
1997;June;73.1;e;1.5;e;-;
1997;July;73.8;e;2.4;e;1.0;e
1997;August;73.8;e;2.4;e;-;
1997;September;73.7;e;2.2;e;-0.1;e
1997;October;73.6;e;2.1;e;-0.1;e
1997;November;73.6;e;2.2;e;-;
1997;December;73.8;e;2.1;e;0.3;e
1998;January;73.8;e;1.2;e;-;
1998;February;73.9;e;1.2;e;0.1;e
1998;March;73.8;e;1.1;e;-0.1;e
1998;April;73.9;e;1.4;e;0.1;e
1998;May;74.0;e;1.2;e;0.1;e
1998;June;74.1;e;1.4;e;0.1;e
1998;July;74.4;e;0.8;e;0.4;e
1998;August;74.2;e;0.5;e;-0.3;e
1998;September;74.0;e;0.4;e;-0.3;e
1998;October;73.9;e;0.4;e;-0.1;e
1998;November;73.9;e;0.4;e;-;
1998;December;74.0;e;0.3;e;0.1;e
1999;January;73.9;e;0.1;e;-0.1;e
1999;February;74.0;e;0.1;e;0.1;e
1999;March;74.0;e;0.3;e;-;
1999;April;74.4;e;0.7;e;0.5;e
1999;May;74.4;e;0.5;e;-;
1999;June;74.5;e;0.5;e;0.1;e
1999;July;74.8;e;0.5;e;0.4;e
1999;August;74.8;e;0.8;e;-;
1999;September;74.6;e;0.8;e;-0.3;e
1999;October;74.5;e;0.8;e;-0.1;e
1999;November;74.7;e;1.1;e;0.3;e
1999;December;74.9;e;1.2;e;0.3;e
2000;January;75.1;e;1.6;e;0.3;e
2000;February;75.1;e;1.5;e;-;
2000;March;75.1;e;1.5;e;-;
2000;April;75.1;e;0.9;e;-;
2000;May;75.1;e;0.9;e;-;
2000;June;75.4;e;1.2;e;0.4;e
2000;July;75.8;e;1.3;e;0.5;e
2000;August;75.6;e;1.1;e;-0.3;e
2000;September;75.8;e;1.6;e;0.3;e
2000;October;75.7;e;1.6;e;-0.1;e
2000;November;75.8;e;1.5;e;0.1;e
2000;December;76.4;e;2.0;e;0.8;e
2001;January;76.2;e;1.5;e;-0.3;e
2001;February;76.6;e;2.0;e;0.5;e
2001;March;76.6;e;2.0;e;-;
2001;April;76.9;e;2.4;e;0.4;e
2001;May;77.2;e;2.8;e;0.4;e
2001;June;77.3;e;2.5;e;0.1;e
2001;July;77.4;e;2.1;e;0.1;e
2001;August;77.2;e;2.1;e;-0.3;e
2001;September;77.2;e;1.8;e;-;
2001;October;77.1;e;1.8;e;-0.1;e
2001;November;76.9;e;1.5;e;-0.3;e
2001;December;77.7;e;1.7;e;1.0;e
2002;January;77.7;e;2.0;e;-;
2002;February;78.0;e;1.8;e;0.4;e
2002;March;78.2;e;2.1;e;0.3;e
2002;April;78.1;e;1.6;e;-0.1;e
2002;May;78.2;e;1.3;e;0.1;e
2002;June;78.2;e;1.2;e;-;
2002;July;78.3;e;1.2;e;0.1;e
2002;August;78.2;e;1.3;e;-0.1;e
2002;September;78.2;e;1.3;e;-;
2002;October;78.1;e;1.3;e;-0.1;e
2002;November;77.8;e;1.2;e;-0.4;e
