Tabelle: 61241-0002
Producer price index for industrial products: Germany,;;;;
months;;;;
Index of producer prices of industrial products;;;;;;;
Germany;;;;;;;
;;Producer price index for industrial products;Producer price index for industrial products;Change on previous month;Change on previous month;Change on previous year's month;Change on previous year's month
;;2021=100;2021=100;in (%);in (%);in (%);in (%)
1976;January;43.9;e;.;;.;
1976;February;44.1;e;0.5;e;.;
1976;March;44.3;e;0.5;e;.;
1976;April;44.6;e;0.7;e;.;
1976;May;44.7;e;0.2;e;.;
1976;June;45.0;e;0.7;e;.;
1976;July;45.2;e;0.4;e;.;
1976;August;45.3;e;0.2;e;.;
1976;September;45.3;e;-;;.;
1976;October;45.3;e;-;;.;
1976;November;45.3;e;-;;.;
1976;December;45.3;e;-;;.;
1977;January;45.5;e;0.4;e;3.6;e
1977;February;45.9;e;0.9;e;4.1;e
1977;March;46.0;e;0.2;e;3.8;e
1977;April;46.3;e;0.7;e;3.8;e
1977;May;46.3;e;-;;3.6;e
1977;June;46.3;e;-;;2.9;e
1977;July;46.3;e;-;;2.4;e
1977;August;46.3;e;-;;2.2;e
1977;September;46.3;e;-;;2.2;e
1977;October;46.3;e;-;;2.2;e
1977;November;46.3;e;-;;2.2;e
1977;December;46.2;e;-0.2;e;2.0;e
1978;January;46.3;e;0.2;e;1.8;e
1978;February;46.3;e;-;;0.9;e
1978;March;46.3;e;-;;0.7;e
1978;April;46.4;e;0.2;e;0.2;e
1978;May;46.7;e;0.6;e;0.9;e
1978;June;46.7;e;-;;0.9;e
1978;July;46.7;e;-;;0.9;e
1978;August;46.7;e;-;;0.9;e
1978;September;46.7;e;-;;0.9;e
1978;October;46.7;e;-;;0.9;e
1978;November;46.9;e;0.4;e;1.3;e
1978;December;47.0;e;0.2;e;1.7;e
1979;January;47.3;e;0.6;e;2.2;e
1979;February;47.5;e;0.4;e;2.6;e
1979;March;48.1;e;1.3;e;3.9;e
1979;April;48.3;e;0.4;e;4.1;e
1979;May;48.6;e;0.6;e;4.1;e
1979;June;48.8;e;0.4;e;4.5;e
1979;July;49.1;e;0.6;e;5.1;e
1979;August;49.2;e;0.2;e;5.4;e
1979;September;49.5;e;0.6;e;6.0;e
1979;October;49.7;e;0.4;e;6.4;e
1979;November;49.9;e;0.4;e;6.4;e
1979;December;50.2;e;0.6;e;6.8;e
1980;January;50.9;e;1.4;e;7.6;e
1980;February;51.3;e;0.8;e;8.0;e
1980;March;51.7;e;0.8;e;7.5;e
1980;April;52.4;e;1.4;e;8.5;e
1980;May;52.6;e;0.4;e;8.2;e
