"",BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A,BBDE1.M.DE.Y.BAA1.A2P000000.G.C.I21.A_FLAGS
"","Output in the production sector / Germany / Production sector including construction (B -D, F) / Calendar and seasonally adjusted",
Conversion english,Average,
Decimals,1,
Source (in english),Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,
Time format code,P1M,
category,KPPR,
unit,2021=100,
unit multiplier,One,
last update,2026-05-08 08:03:13,
1991-01,81.5,
1991-02,79.8,
1991-03,79.8,
1991-04,79.1,
1991-05,78.2,
1991-06,80.6,
1991-07,79.0,
1991-08,77.6,
1991-09,77.2,
1991-10,78.8,
1991-11,79.7,
1991-12,79.5,
1992-01,80.7,
1992-02,81.9,
1992-03,80.2,
1992-04,79.8,
1992-05,79.1,
1992-06,78.2,
1992-07,77.1,
1992-08,77.4,
1992-09,76.6,
1992-10,76.8,
1992-11,75.6,
1992-12,75.1,
1993-01,74.3,
1993-02,73.4,
1993-03,73.3,
1993-04,72.8,
1993-05,72.6,
1993-06,72.5,
1993-07,70.9,
1993-08,73.8,
1993-09,73.2,
1993-10,73.4,
1993-11,72.8,
1993-12,73.4,
1994-01,73.7,
1994-02,74.5,
1994-03,74.6,
1994-04,75.2,
1994-05,75.2,
1994-06,75.4,
1994-07,74.9,
1994-08,75.3,
1994-09,75.9,
1994-10,77.6,
1994-11,77.7,
1994-12,77.8,
1995-01,75.3,
1995-02,77.7,
1995-03,76.6,
1995-04,77.0,
1995-05,77.5,
1995-06,76.6,
1995-07,76.4,
1995-08,75.6,
1995-09,76.6,
1995-10,75.0,
1995-11,75.6,
1995-12,75.1,
1996-01,74.1,
1996-02,73.2,
1996-03,74.7,
1996-04,75.4,
1996-05,76.2,
1996-06,76.3,
1996-07,75.8,
1996-08,76.7,
1996-09,77.1,
1996-10,75.9,
1996-11,76.8,
1996-12,76.9,
1997-01,74.5,
1997-02,76.3,
1997-03,77.4,
1997-04,77.1,
1997-05,76.2,
1997-06,78.5,
1997-07,79.5,
1997-08,76.9,
1997-09,77.5,
1997-10,78.7,
1997-11,79.0,
1997-12,79.3,
1998-01,79.9,
1998-02,79.8,
1998-03,80.7,
1998-04,79.9,
1998-05,80.4,
1998-06,80.0,
1998-07,81.6,
1998-08,80.0,
1998-09,79.4,
1998-10,79.8,
1998-11,78.7,
1998-12,78.8,
1999-01,80.6,
1999-02,78.7,
1999-03,79.6,
1999-04,79.9,
1999-05,80.2,
1999-06,80.6,
1999-07,81.0,
1999-08,81.6,
1999-09,81.3,
1999-10,82.0,
1999-11,81.8,
1999-12,82.0,
2000-01,81.6,
2000-02,82.9,
2000-03,83.1,
2000-04,83.7,
2000-05,86.0,
2000-06,83.4,
2000-07,85.2,
2000-08,85.7,
2000-09,85.8,
2000-10,85.3,
2000-11,85.7,
2000-12,86.3,
2001-01,85.6,
2001-02,87.2,
2001-03,85.3,
2001-04,83.9,
2001-05,85.3,
2001-06,85.2,
2001-07,83.1,
2001-08,85.2,
2001-09,84.3,
2001-10,82.8,
2001-11,82.1,
2001-12,82.8,
2002-01,82.3,
2002-02,83.0,
2002-03,83.4,
2002-04,83.3,
2002-05,82.6,
2002-06,84.1,
2002-07,82.9,
2002-08,84.6,
2002-09,83.9,
2002-10,83.0,
2002-11,84.4,
2002-12,82.5,
2003-01,83.4,
2003-02,83.4,
